better checkpoint: 7325, reward: 19.313296914100647.
better checkpoint: 7326, reward: 19.771432564258575.
better checkpoint: 7352, reward: 19.962200788259505.
better checkpoint: 7445, reward: 19.995778329372406.
better checkpoint: 7462, reward: 20.082108912467955.
better checkpoint: 7463, reward: 20.083379361629486.
better checkpoint: 7486, reward: 20.085401262044908.
better checkpoint: 7528, reward: 20.457678278684615.
temp best reward for iterations [5000, 10000] : 20.457678278684615
----------------------------------------
better checkpoint: 10001, reward: 19.101331910640003.
better checkpoint: 10002, reward: 19.140877001285553.
better checkpoint: 10008, reward: 19.536451437473296.
better checkpoint: 10019, reward: 20.24511539697647.
better checkpoint: 10043, reward: 20.3188795876503.
better checkpoint: 10046, reward: 20.350914491415026.
better checkpoint: 10061, reward: 20.69361063718796.
better checkpoint: 10075, reward: 20.696765098571777.
better checkpoint: 10089, reward: 20.83606925904751.
temp best reward for iterations [10000, 15000] : 20.83606925904751
----------------------------------------
better checkpoint: 15001, reward: 0.5826797389984131.
better checkpoint: 15002, reward: 1.193385238647461.
better checkpoint: 15003, reward: 1.8949502182006837.
better checkpoint: 15089, reward: 2.0289476776123045.
better checkpoint: 15163, reward: 2.083035101890564.
better checkpoint: 15182, reward: 2.3962456798553466.
